gender,age_group,level_of_study,lecture_location,accommodation_type,faculty,off_campus_duration,room_category,annual_rent,includes_water,includes_electricity,includes_waste_disposal,has_running_water,has_extra_storage,has_wifi_internet,has_study_area,has_security_services,has_generator_backup_power,hostel_distance_minutes,commute_mode,room_size,furnished_bed,furnished_table,furnished_chairs,has_access_controls,has_janitorial_services,required_deposit,recent_rent_increase,avg_rent_nearby,hostel_location
Male,25-30,Postgraduate,Science,2 in a room,Faculty of Social Sciences,Less than 6 months,Shared washroom- shared kitchen,4000,No,Yes,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,Yes,No,2500,500,5000,Kwaprow
Male,35-40,Postgraduate,New Site,Private room(1 in a room),School of Business,3 years or more,Full self contain,5000,Yes,No,Yes,Yes,Yes,No,No,Yes,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,,,No,No,2500,1500,4000,Amamoma
Male,25-30,Postgraduate,Science,Private room(1 in a room),Faculty of Social Sciences,6 months to 1 year,Full self contain,4500,No,No,Yes,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Personal vehicle,15 - 20 sqm,Yes,Yes,Yes,No,No,2500,1000,3500,Domeabra
Male,26-30,Post Graduate,Science,5+ in a room,Faculty of Education,Between a year and 2 years,Shared washroom- No kitchen,5000,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,No,No,No,No,,,,
Male,26-30,Fourth year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Full self contain,3000,No,No,No,Yes,No,No,No,No,No,21 - 30 minutes walk,Walking,20 - 30 sqm,No,No,No,No,No,,,,Apewosika
Male,31-35,Post Graduate,Science,2 in a room,Faculty of Education,6 months to 1 year,Shared washroom- shared kitchen,1500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,31 - 40 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,900,500,2000,Apewosika
Male,26-30,Postgraduate,Old Site,Private room(1 in a room),Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,4000,Yes,No,No,Yes,No,No,No,No,No,11 - 20 minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,No,Yes,4000,500,4500,Kwesi Pra
Male,31-35,Post Graduate,Science,2 in a room,Faculty of Social Sciences,3 years or more,Full self contain,2500,Yes,No,No,Yes,,,,,,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,,,2000,500,30000,Ayensu
Male,26-30,Post Graduate,New Site,2 in a room,Faculty of Social Sciences,3 years or more,Full self contain,5000,Yes,No,Yes,Yes,Yes,No,No,Yes,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2500,4000,5000,Ayensu
Male,21-25,Third year,Old Site,2 in a room,Faculty Science And Technology ,3 years or more,Full self contain,3000,No,No,No,,Yes,,,,,1 - 10 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,,,1500,500,3500,Apewosika
,21-25,Third year,New Site,2 in a room,Faculty of Education,3 years or more,Full self contain,2500,Yes,Yes,Yes,Yes,,,,,,31 - 40 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,,,1500,100,200,Amamoma
Male,31-35,Post Graduate,Old Site,2 in a room,School of Business,3 years or more,Full self contain,1500,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,21 - 30 minutes walk,Walking,20 - 30 sqm,No,Yes,Yes,No,Yes,1000,100,1800,Ayensu
Male,36-40,Post Graduate,Old Site,3 in a room,Faculty of Education,6 months to 1 year,Shared washroom- shared kitchen,1000,Yes,Yes,Yes,Yes,No,No,Yes,No,No,31 - 40 minutes walk,Personal vehicle,20 - 30 sqm,Yes,Yes,Yes,No,Yes,500,200,1000,Domeabra
Male,40+,Post Graduate,New Site,Private room(1 in a room),Faculty of Education,Between a year and 2 years,Full self contain,7000,No,No,Yes,Yes,Yes,No,No,Yes,No,61+ minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,No,Yes,3500,1000,5000,Adisasel
Male,31-35,Post Graduate,Science,Private room(1 in a room),School of Business,Between a year and 2 years,Full self contain,2000,Yes,No,Yes,Yes,Yes,No,Yes,No,No,11 - 20 minutes walk,Taxi,15 - 20 sqm,No,,,No,No,1000,200,2500,Ayensu
Female,31-35,Third year,Science,4 in a room,School of Medical Sciences,Between a year and 2 years,Full self contain,2500,No,No,Yes,Yes,No,No,No,Yes,No,31 - 40 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,No,Yes,Yes,2500,1000,1500,Apewosika
Male,31-35,Post Graduate,Science,2 in a room,School of Business,3 years or more,Self washroom - shared kitchen,3000,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,21 - 30 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,Yes,Yes,1500,200,1250,Kwaprow
Female,21-25,Second year,Science,2 in a room,Faculty of Social Sciences,Less than 6 months,Full self contain,3500,Yes,No,Yes,Yes,No,No,No,No,No,31 - 40 minutes walk,Walking,15 - 20 sqm,Yes,No,Yes,No,No,2000,,4000,Amamoma
Male,36-40,Post Graduate,Science,Private room(1 in a room),School of Business,Between a year and 2 years,Full self contain,5000,No,No,No,Yes,No,No,No,No,No,11 - 20 minutes walk,Taxi,15 - 20 sqm,Yes,Yes,Yes,No,No,5000,1000,6000,Amamoma
Male,31-35,Post Graduate,Science,2 in a room,Faculty of Education,3 years or more,Shared washroom- self kitchen,3000,No,No,No,Yes,No,No,No,No,No,31 - 40 minutes walk,Walking,20 - 30 sqm,No,No,No,No,No,3000,500,5000,Apewosika
